Target,Predicted Label,Remarks,Sentences,Cleaned
0,GENERAL,सलाम,सलाम छ द्वारिकालाल चौधरी मेयर ज्यु हजुर जस्तो सबै ठाउ मा मेयर को खाचो छ शतप्रतिशत सहि हुनु हुन्छ मेयर ज्यु ।,सलाम द्वारिकालाल चौधरी मेयर ज्यु हजुर ठाउ मेयर खाचो शतप्रतिशत सहि मेयर ज्यु
0,GENERAL,सलुट गर्छु,म मेएर साब लाई सलुट गर्छु तपाई जस्तो हजारौ मेएर को खाचो छ पत्रकार भने को सब पईसा मा बिक्ने खाले हुन् ।,मेएर साब सलुट तपाई हजारौ मेएर खाचो पत्रकार सब पईसा बिक्ने खाले
0,GENERAL,साथ,भ्रष्टाचारीकाे साताे उडाइदिनुस मेयर ज्यू सम्पूर्ण जनताकाे साथ अवश्य रहन्छ ।,भ्रष्टाचारीकाे साताे उडाइदिनुस मेयर ज्यू सम्पूर्ण जनताकाे अवश्य रहन्छ
0,GENERAL,भुमिपुत्र को छोरा,भुमिपुत्र को छोरा होनि त चौधरी साहेब ।,भुमिपुत्र छोरा होनि चौधरी साहेब
1,GENERAL,झुसे लुटेरा भ्रष्टाचारी नस्लबादी झुसे,थोडी झुसे लुटेरा भ्रष्टाचारी नस्लबादी झुसे हरु होर ?,थोडी झुसे लुटेरा भ्रष्टाचारी नस्लबादी झुसे होर
0,GENERAL,फ्यान नै भए,म त द्वरिका लाल चौधरी को फ्यान नै भए लजा जे पर्ला पर्ला ।,द्वरिका लाल चौधरी फ्यान लजा पर्ला पर्ला
0,GENERAL,साहसी,मेयर त मान्छे एकदम साहसी रैछन मान्छे ।,मेयर मान्छे साहसी रैछन मान्छे
0,GENERAL,प्रधानमन्त्री बन्नु पर्ने,यी बुडा को सबै भिडियो हेरिसके साच्चि कै प्रधानमन्त्री बन्नु पर्ने रहेछ ।,बुडा भिडियो हेरिसके साच्चि प्रधानमन्त्री बन्नु
1,GENERAL,औचित्य लाग्दैन,कान्तिपुर न्युज भारती दलाल हो त्यस ले प्रसारण गरे को समाचार को कुनै औचित्य लाग्दैन ।,कान्तिपुर न्युज भारती दलाल प्रसारण गरे समाचार औचित्य लाग्दैन
0,GENERAL,दिल safa,तर मेयर को दिल safa छ.. ... .,मेयर दिल
0,GENERAL,सहि,100 % मेयर सहि छ.. .. Sabai le थारू को xora vanera पद बाट निकाला garnalai anekau raaj लीला gariracha .. tara पनि मेयर जी पछि hateko 6aina ... Great job मेयर जी. ... . ।,मेयर सहि थारू पद बाट निकाला लीला मेयर जी मेयर जी
1,GENERAL,जुधाउने काम गर्छ,अाफु लाई सेर ठानेर प्रस्तुत हुन्छन खालि जुधाउने काम गर्छ ।,अाफु सेर ठानेर प्रस्तुत हुन्छन खालि जुधाउने काम
1,GENERAL,नालायक,चाटुकार र पत्रुकार जस्ता नालायक हरु को नाक को डाँडी भाँच्नु पर्छ ।,चाटुकार पत्रुकार जस्ता नालायक नाक डाँडी भाँच्नु
0,GENERAL,निर्णय सहि छ,जोकोहि होस भष्ट लाई छोड्नु हुदैन मेयर को निर्णय सहि छ ।,जोकोहि होस भष्ट छोड्नु हुदैन मेयर निर्णय सहि
0,GENERAL,बधाई,बिचलित हरु को आत्मा मा धेरै चोट परे को रहेछ ईटहरी को मियर को कानुन प्रती तिनि हरु लाई कार्बही गर्नु पर्छ बधाई छ मियर सर ।,बिचलित आत्मा चोट परे ईटहरी मियर कानुन प्रती तिनि कार्बही बधाई मियर सर
0,GENERAL,You are great,जब आफुलाइ गल्ती गरे को महसुस नै छैन भने किन मफि मग्नु नि You are great ।,आफुलाइ गल्ती गरे महसुस मफि मग्नु
0,GENERAL,सहि छन,मेयर साब सहि छन ।,मेयर साब सहि छन
0,GENERAL,कुरा सहि लाग्याे,"कडा रहिछन बुढा , , , कुरा सहि लाग्याे ।",कडा रहिछन बुढा सहि लाग्याे
1,GENERAL,भतुवा,इटहरी का मेयर ले भ्रष्टाचारी का संरक्षक पक्षपोषक भतुवा पत्रकार हरु लाई लोपारिदिन्छु भन्दा चै कानुन हात मा लिए को हुने ?,इटहरी मेयर भ्रष्टाचारी संरक्षक पक्षपोषक भतुवा पत्रकार लोपारिदिन्छु चै कानुन हात लिए
1,GENERAL,पृत पत्रुकार,याे interview लिने पत्रुकार लाई पनि पृत पत्रुकार घाेषणा गर ।,याे लिने पत्रुकार पृत पत्रुकार घाेषणा
0,GENERAL,राम्रो बिचार,राम्रो बिचार मेयर साब ।,बिचार मेयर साब
0,GENERAL,मन छोयो,गौतम बुद्द सधै जन्मिदैनन वाला लाइन ले मन छोयो ।,गौतम बुद्द सधै जन्मिदैनन वाला लाइन मन छोयो
0,GENERAL,सत्य बोल्नु भयो keep it up,सत्य बोल्नु भयो keep it up ।,सत्य बोल्नु
0,GENERAL,सलाम,मेयर ज्यु यस्तो पत्रकार लाई त नाक को डारि मात्र हैन त्यस को त्यो जता भाबी लेख्ने हात पनि काट्नु पर्छ सलाम छ हजुर लाई देश को धमिरा हरू लाई नस्ट गर्न पर्छ आब जन फेसला हुन ऐक दम जरूरी छ.. ... .. !,मेयर ज्यु पत्रकार नाक डारि हैन जता भाबी लेख्ने हात काट्नु सलाम हजुर देश धमिरा नस्ट आब जन फेसला ऐक दम जरूरी
0,GENERAL,मन्त्री होस्,मेहर सर मन्त्री होस् भन्न चाहने हरू सबै यता हाजिर हौ ?,मेहर सर मन्त्री भन्न यता हाजिर हौ
0,GENERAL,यस्तो हुनुपर्छ,"देश ले चाहे को मेयर यस्तो हुनुपर्छ देश का नगर , गाउँ मा यस्तै मेयर को आवश्यकता छ ।",देश चाहे मेयर देश नगर गाउँ यस्तै मेयर आवश्यकता
0,GENERAL,जिन्दवाद,मेयर जि जिन्दवाद मेयर को नया interview update पाउन यस nepali online channel लाई subscribe गर्नुस ।,मेयर जि जिन्दवाद मेयर नया पाउन गर्नुस
0,GENERAL,सहि छ,कुरा त सहि छ भर्स्ट्चार बिरुद्द यस्तै मान्छे चाहिन्छ ।,सहि भर्स्ट्चार बिरुद्द यस्तै मान्छे
0,GENERAL,साथ छौ,द्वारिकालाल चौधरी मेयर साब ढकमगाउनु हुदैन हामी तपाई को साथ छौ तपाईं अलिकति पनि हतोत्साहित हुनु हुदैन यो हाम्रो सुझाब छ ।,द्वारिकालाल चौधरी मेयर साब ढकमगाउनु हुदैन तपाई अलिकति हतोत्साहित हुदैन सुझाब
1,GENERAL,गलत नियत,सिधा कुरा जनता सग हेर्दा अलिकति गलत नियत भए जस्तो लागे को थियोे तर याे कार्यक्रम हेरेर स्पष्ट भयाे हजुर राम्रो विचार स्पष्ट वक्ता हुनुहुदाे रैछ ️ ️ ️ ️ ️ ️ ।,सिधा जनता सग हेर्दा अलिकति गलत नियत लागे थियोे याे कार्यक्रम हेरेर भयाे हजुर विचार वक्ता हुनुहुदाे रैछ
0,GENERAL,सलाम,यस्तो आँट भा को जनप्रतिनिधि लाई सलाम तपाईं को पक्ष मा 3 करोड जनता छन् ।,आँट भा जनप्रतिनिधि सलाम पक्ष करोड जनता
0,GENERAL,आवश्यक छ,यस्तो मेयर ज्यु को हरेक छेत्र मा आवश्यक छ ।,मेयर ज्यु छेत्र आवश्यक
0,GENERAL,सलाम,सलाम छ हजुर लाई ।,सलाम हजुर
0,GENERAL,राम्रो,रबी सर एकदम राम्रो पत्रकार हो 100% तर यो मेयर पनी नराम्रो हो जस्तो म लाई लाग्दैन ।,रबी सर पत्रकार मेयर पनी नराम्रो लाग्दैन
0,GENERAL,राम्रो सोच,यस्तो राम्रो सोच सबै को भए आज देश निक्कै माथी हुन्थ्यो ( किसान को छोरा कोदालो खनेर खान्छु ) सोच ।,सोच देश निक्कै माथी किसान छोरा कोदालो खनेर खान्छु सोच
0,GENERAL,सोचाइ राम्,मेयर ज्यु तपाईं को सोचाइ राम्रो छ ह्जुर यो देश को प्रधान मन्त्री हुनु पर्थो ।,मेयर ज्यु सोचाइ ह्जुर देश प्रधान मन्त्री पर्थो
0,GENERAL,सहि कुराे,"सहि कुराे , यदि तलब कम भयाे भने जागिर छाेड्नुस ब्यापार गर्नुस ।",सहि कुराे तलब कम भयाे जागिर छाेड्नुस ब्यापार गर्नुस
0,GENERAL,राम्रो छ,#मेयरको काम पनि राम्रो छ बोल्ने तरिका अलिक ठाडो छ तर रबि लामिछाने लाई दोस देखाउनु भने को मुर्खता हो हाल अहिले सम्म को पत्रकारिता को इतिहास मा नेपाल मा रबि जि ले जति योगदान अरु कसै ले गरे को छैन #जय देस जय नेपाल ।,मेयरको काम बोल्ने तरिका अलिक ठाडो रबि लामिछाने दोस देखाउनु मुर्खता हाल अहिले पत्रकारिता इतिहास नेपाल रबि जि जति योगदान अरु गरे जय देस जय नेपाल
0,GENERAL,लाल सलाम्,Innocent & straightforward धर्ति पुत्र मेयर साप् लाल सलाम् ... ... ✊ ✊ ।,धर्ति पुत्र मेयर साप् लाल सलाम्
0,GENERAL,ढिला आए कडा आए salute,मेयर द्वारिकालाल चौधरी ढिला आए कडा आए salute छ मेयर साहव !,मेयर द्वारिकालाल चौधरी ढिला कडा मेयर साहव
1,GENERAL,"दलाल , भुमाफिया भस्त्रचारी , पीत पत्रकारीता","दलाल , भुमाफिया भस्त्रचारी , पीत पत्रकारीता गर्नेलाइ छाद्नु हुदैन !",दलाल भुमाफिया भस्त्रचारी पीत पत्रकारीता छाद्नु हुदैन
1,GENERAL,पित,पित पत्रकारिता को सफाई स्वंयम राम्रा पत्रकार हरू ले नै गर्नु पर्छ ।,पित पत्रकारिता सफाई स्वंयम राम्रा पत्रकार
0,GENERAL,आवश्यक,वास्तवमा मेयर साव देश लाई आवश्यक पर्ने व्यत्ति हुनुहुन्छ ।,मेयर साव देश आवश्यक व्यत्ति
0,GENERAL,बिकाश,देश को ७७ वटा नै जिल्ला मा यस्तै मेयर हुने हो भने गाउँ र देश को बिकाश हुन समय लाग्ने थिएन यस्तै शाहास को काम गर्दै जानू मेयर जनता तपाई को पक्ष मा हुने छौ !,देश वटा जिल्ला यस्तै मेयर गाउँ देश बिकाश लाग्ने यस्तै शाहास काम जानू मेयर जनता तपाई पक्ष
0,GENERAL,जन्मिनु पर्छ,द्वारिकालाल जस्तो जनप्रतिनिधी हरु एउ टा हैन अब यो देश मा हजारौ जन्मिनु पर्छ अनि मात्र देश सम्बृदी को बाटो मा अघि बढ्न सक्छ मेयर साप लाई सलाम छ !,द्वारिकालाल जनप्रतिनिधी एउ टा हैन देश हजारौ जन्मिनु अनि देश सम्बृदी अघि बढ्न मेयर साप सलाम
0,GENERAL,फ्यान,रबि सर को फ्यान म पनि हो तर अहिले को मेयर चौधरी जस्तो नेता हाम्रो देश मा हुनु पर्छ ️ ।,रबि सर फ्यान अहिले मेयर चौधरी नेता देश
0,GENERAL,great,अरु धेरै लेख्नु जरुरी छैन Mr. Mayor you are the great keep going ।,अरु लेख्नु जरुरी
1,GENERAL,धिकार,हुनत मपनी क्षेत्री हो तर धिकार छ यो मुजि बाहुन बादी मिडिया र बाहुन हरु प्रति ।,हुनत मपनी क्षेत्री धिकार मुजि बाहुन बादी मिडिया बाहुन
0,GENERAL,राम्रो काम,रबिलामिछाने ले देस जनता पीडित हरु को लागि राम्रो काम गर्नु भए को छ तर कुनै कुनै रिपोर्ट भित्र सम्म नगाइ नबुजी बहिर out गर्दा अहिले जनता को बिस्वास बाट घाटदै ग को जस्तो देखिन्छ ।,रबिलामिछाने देस जनता पीडित काम रिपोर्ट नगाइ नबुजी बहिर अहिले जनता बिस्वास बाट घाटदै
0,GENERAL,सहि हुनुहुन्छ,पत्रकार महोदय सम्पुण नेपालि ले द्ववारिकालाल चौधरि साब सहि हुनुहुन्छ त हुनुहुन्छ 100% ।,पत्रकार महोदय सम्पुण नेपालि द्ववारिकालाल चौधरि साब सहि
1,GENERAL,गधा,साला नालायक repoter . तँलाइ . भेट्यो भने तेरै माइक थुतेर तेरो मुख फुट्ने गरि बजाउछु साले .. बोल्ने शैलि त थोप्पो नरहेछ गधा को ।,साला नालायक तँलाइ भेट्यो तेरै माइक थुतेर तेरो मुख फुट्ने बजाउछु साले बोल्ने शैलि थोप्पो नरहेछ गधा
0,GENERAL,राम्रो काम गर्ने,रबि मात्र हैन उस को बाउ आए पनि केही फरक पर्दैन राम्रो काम गर्ने मेयर साब लाई हाम्रो समर्थन छ ।,रबि हैन उस बाउ फरक पर्दैन काम मेयर साब समर्थन
0,GENERAL,सहि छ,"जस्ल्रे जे भने पनि मेयर को भनाई सहि छ ,.. !",जस्ल्रे मेयर भनाई सहि
0,GENERAL,महान,"मेयर ज्यु , तपाईं जस्तो महान मेयर हाम्रो नेपाल मा खाँचो छ ।",मेयर ज्यु महान मेयर नेपाल खाँचो
1,GENERAL,ठिक लागेन,यो पत्रकार पनि ठिक लागेन जे गर्नु ठिक गर्नु भयो मेयर जि ले सबै यस्तै भए देश राम्रो हुने ।,पत्रकार ठिक लागेन ठिक मेयर जि यस्तै देश
1,GENERAL,अति भै सक्यो,पत्रकार हु भन्दै मा अति भै सक्यो नेपाल मा 96% पत्रकार बिकाउ छन \ \ ।,पत्रकार अति भै नेपाल पत्रकार बिकाउ छन
0,GENERAL,साथ,भ्रष्टाचार को अन्त्य गर्नुपर्छ भन्ने मेयरजी को साथ मा हुने हरु ले यता हाजिर गरमत ️ ️ ।,भ्रष्टाचार अन्त्य मेयरजी यता हाजिर गरमत
1,GENERAL,झोले,यी मुजि झोले पत्रकार हरु लाई गोलि ले भुट्नु पर्छ ।,मुजि झोले पत्रकार गोलि भुट्नु
1,GENERAL,भार्न्ति फैलाउने,समाज मा भार्न्ति फैलाउने गलत समाचार देखाउने सहि मान्छे लाई गलत गलत लाई सहि पार्ने यिनै माच्चिक्नि हरु हुन ।,समाज भार्न्ति फैलाउने गलत समाचार देखाउने सहि मान्छे गलत गलत सहि पार्ने यिनै माच्चिक्नि
0,GENERAL,राम्रो,मेयर ले गर्न खोजे को काम चाइ एकदमै राम्रो हो ।,मेयर खोजे काम चाइ एकदमै
1,GENERAL,भ्रष्टाचारि,भ्रष्टाचारि पत्रकार को नाक को डाडी होइन जीउँदै जलाउनुपर्छ तर रबि लामिछाने लाई आरोप लाउनु आलोचना गर्नु भने को महापाप हो ।,भ्रष्टाचारि पत्रकार नाक डाडी जीउँदै जलाउनुपर्छ रबि लामिछाने आरोप लाउनु आलोचना महापाप
1,GENERAL,आलु जस्तो,के आलु जस्तो Youtuber रहेछ ताइ न थुई को question हरु गरिरहन्छ ।,आलु ताइ थुई गरिरहन्छ
0,GENERAL,खाचो रहे को छ,नेपाल मा यस्तो मेयर जस्तो व्यक्ती को धेरैनै खाचो रहे को छ ।,नेपाल मेयर व्यक्ती धेरैनै खाचो रहे
0,GENERAL,साथ छ,"हामि सबै को साथ छ , मेयर ज्यु ।",हामि मेयर ज्यु
0,GENERAL,खाचो छ,मेयर सयेब को काठमाडौं मा खाचो छ. काठमाडौं सम्हाल्नु आउनु पार्‍यो ।,मेयर सयेब काठमाडौं खाचो काठमाडौं सम्हाल्नु आउनु पार्यो
1,GENERAL,घुसखोरी,भ्रष्टचारी र घुसखोरी लाई कानुन को दायरा मा लिएर राम धुलाई गर्दा कसो होला मेयर ज्यु ।,भ्रष्टचारी घुसखोरी कानुन दायरा लिएर राम धुलाई कसो मेयर ज्यु
0,GENERAL,सलाम छ,निडर हुनुस् सलाम छ तपाईं जस्तो राम्रो सोच भय को नेता पाउदैन ।,निडर हुनुस् सलाम सोच भय नेता पाउदैन
0,GENERAL,देश भक्त,यो देश भक्त मेर हो येस्ता मेर हर ठाउ मा भय देश बन्छ ।,देश भक्त मेर येस्ता मेर हर ठाउ भय देश बन्छ
0,GENERAL,साथ छ,राम्रो काम को लागि अगाडी बड्नुहोस हाम्रो सँधै साथ छ ।,काम अगाडी बड्नुहोस सँधै
0,GENERAL,सहि बोल्यो,जे बोल्यो सहि बोल्यो ।,बोल्यो सहि बोल्यो
1,GENERAL,दबाउन,बाहुनबाद ले आदिबासिलाइ दबाउन खोजिरा को छ ।,बाहुनबाद आदिबासिलाइ दबाउन खोजिरा
0,GENERAL,शुद्ध मन,खश्रो बोली शुद्ध मन मेयार जि को सहि 100% ।,खश्रो बोली शुद्ध मन मेयार जि सहि
0,GENERAL,सहि,जस ले जे जे भनुन यो मेयर सहि छ ।,भनुन मेयर सहि
0,GENERAL,राम्रो छ,राबिलामिछाने को नियात राम्रो छ त्यो म मान्छु ।,राबिलामिछाने नियात मान्छु
1,GENERAL,घाटा,तर कतिपय केस मा गहिराई मा नगएर सतही टिप्पणी गर्न्नेबानि छ यो बानि ले खुद रबिलाइनै घाटा छ ।,कतिपय केस गहिराई नगएर सतही टिप्पणी गर्न्नेबानि बानि खुद रबिलाइनै घाटा
0,GENERAL,खाँचो,"मेयर ज्यु , तपाई जस्तो जनप्रतिनिधि को खाँचो छ यो देस मा ।",मेयर ज्यु तपाई जनप्रतिनिधि खाँचो देस
0,GENERAL,धन्यवाद,दरिकालालजिलाइ हृदय देखि नै धन्यवाद !,दरिकालालजिलाइ हृदय धन्यवाद
0,GENERAL,साथ,तपाई को साथ मा हामी सबै नेपाली छौ ।,तपाई नेपाली
1,GENERAL,भष्टचारि,"भष्टचारि कर्मचारी र पित , झाेले पत्रकारकाे नाक हैन ढाडकाे हट्डि नै भाच्न पर्छ ।",भष्टचारि कर्मचारी पित झाेले पत्रकारकाे नाक हैन ढाडकाे हट्डि भाच्न
1,GENERAL,शिकार,युटुबर हरु किन यसरी एउ टा लब्द प्रतिष्ठित मेयर लाई किन यसरी अाफ्नो भियरस बडाउन कआलागि शिकार खेलिरहे को छ ।,युटुबर एउ टा लब्द प्रतिष्ठित मेयर अाफ्नो भियरस बडाउन कआलागि शिकार खेलिरहे
1,GENERAL,भ्रम क छर्ने,सबै पत्रकार ले भन्दिन तर केही पत्रकार ले नेपाली जनता मा भ्रम क छर्ने काम गरे को छ ।,पत्रकार भन्दिन पत्रकार नेपाली जनता भ्रम छर्ने काम गरे
0,GENERAL,सहि हुनु हुन्छ,मेरो नजर मा मयर साब सहि हुनु हुन्छ ।,नजर मयर साब सहि
0,GENERAL,सहि हो,मेयर साब 100 & सहि हो यस्तै नेता हरू को जरुरत छ नेपाल मा सलाम छ द्ववारिका सर नाक हैन ढाडनै भाचनु घुसखोरि जग्गा माफिया का भरौटे पत्रुकारनै हो इ कुकुरहारु लाई छोडनु हुदैन ।,मेयर साब सहि यस्तै नेता जरुरत नेपाल सलाम द्ववारिका सर नाक हैन ढाडनै भाचनु घुसखोरि जग्गा माफिया भरौटे पत्रुकारनै कुकुरहारु छोडनु हुदैन
0,GENERAL,ठिक गर्नु,जे गरे को छ मेयर साब ले ठिक गर्नु भए को छ | प्राय सबै संविधान र कानुन को कुरा गर्छ्न नेपाल मा कहाँ नेर कानुन लागु भए को छ र हँ ?,गरे मेयर साब ठिक प्राय संविधान कानुन गर्छ्न नेपाल कहाँ नेर कानुन लागु हँ
0,GENERAL,हाइ हाइ,"रबि दाइ हाइ हाइ प्रचण्ड , केपि , सेरे बाइ बाइ अब आउनु पर्छ रबि दाइ राज्निति मा आउनु पर्छ नेपाली जनता को माग छ ।",रबि दाइ हाइ हाइ प्रचण्ड केपि सेरे बाइ बाइ आउनु रबि दाइ राज्निति आउनु नेपाली जनता माग
1,GENERAL,पत्रकार हैन,Rabi sir हजुर पत्रकार हैन ।,हजुर पत्रकार हैन
0,GENERAL,ठुलाे सम्मान,हाम्रो रबि दाईलाईत झन ठुलाे सम्मान भयाे !,रबि दाईलाईत झन ठुलाे सम्मान भयाे
0,GENERAL,हेरी हाल्ने,अब सीधा कुरा जनता सँग कार्यक्रम हेरी हाल्ने ईच्छा छ ।,सीधा जनता कार्यक्रम हेरी हाल्ने ईच्छा
0,GENERAL,good,महिला पन्छे बाजा सहित रबि दाइ लाई स्यागत good ।,महिला पन्छे बाजा सहित रबि दाइ स्यागत
0,GENERAL,बनाउने हो,रबि सर लाई प्रधानमन्त्री बनाउने हो सहमत को को हुनु हुन्छ यता हाजिर हुम त ।,रबि सर प्रधानमन्त्री बनाउने सहमत यता हाजिर हुम
0,GENERAL,जिन्दबात,रबि जिन्दबात भोलि को दिन मा फेरि दायाँ बायाँ नराम्रो जात भात मा फरक नआवस है रबि सर आज जति तपाइ को सपोट गरे फेरि नराम्रो भो भने हामी येस्तै त हो नि ब्रो हुन्छ नि ज्ये रबि सर ।,रबि जिन्दबात भोलि दिन दायाँ बायाँ नराम्रो जात भात फरक नआवस है रबि सर जति तपाइ सपोट गरे नराम्रो भो येस्तै ब्रो ज्ये रबि सर
0,GENERAL,शुभकामना,जे जस्तो काम गर्नु हुन्छ रबि ब्रो ले नेपाली को मन छुने काम गर्नु हुन्छ यही छ शुभकामना रबि ब्रो नेपाल को राजा हो ।,काम रबि ब्रो नेपाली मन काम यही शुभकामना रबि ब्रो नेपाल राजा
1,GENERAL,डन्ठे,गेट बाट छिर्न दिएन हामि लाई त डन्ठे हरु ले ।,गेट बाट छिर्न दिएन हामि डन्ठे
0,GENERAL,जनता को प्रधानमन्त्री,हामी जनता को प्रधानमन्त्री रबि लामिछाने हो ।,जनता प्रधानमन्त्री रबि लामिछाने
1,GENERAL,भिडभाड का लोभि,नेता हरु आफ्ना वरिपरि जता गयो उतै यस्तै भिडभाड का लोभि हुँन्छन् ।,नेता आफ्ना जता उतै यस्तै भिडभाड लोभि हुँन्छन्
0,GENERAL,"माया , सद्भाव , समर्थन र स्वागत","रवि लाई मिले को चौर्फि यस्तो माया , सद्भाव , समर्थन र स्वागत बाट कति डाह र जलन भए को होला अनुमान गर्न गाह्रो छ ।",रवि मिले चौर्फि माया सद्भाव समर्थन स्वागत बाट कति डाह जलन अनुमान गाह्रो
0,GENERAL,खुशि छु,रबि दाई को ईन्ट्र्व्यु कहिले देखि हेर्ने चाहना थियो आज हेर्न पाईयो खुशि छु ।,रबि दाई ईन्ट्र्व्यु कहिले हेर्ने चाहना हेर्न पाईयो खुशि
0,GENERAL,मिठो सालिन नम्र,रबि दाई को बोली नि कति मिठो सालिन नम्र छ ।,रबि दाई बोली कति मिठो सालिन नम्र
0,GENERAL,गर्ब छ,गर्ब छ रबि दाइ प्रती ।,गर्ब रबि दाइ प्रती
0,GENERAL,हिरो,बिरोधी हरु को कति चित्त दुखे को होला नेपाल को रियल हिरो रबि दाइ ✊✊ ।,बिरोधी कति चित्त दुखे नेपाल रियल हिरो रबि दाइ
1,GENERAL,बुढा,"100% सत्ये कुरा हो , अब देस को प्रधानमन्त्री रबि लामिछाने गुनु पर्छ , ई बुढा यमराज को अंश छैन देस मा , ।",सत्ये देस प्रधानमन्त्री रबि लामिछाने गुनु बुढा यमराज अंश देस
0,GENERAL,महान सपूत,देस र जन्ता को लागि सोच्ने महान सपूत रबि सर लाई स्वागत गर्न पाउँदा आज यो मन अत्ति आन्न्द भैराखे को छ ।,देस जन्ता सोच्ने महान सपूत रबि सर स्वागत पाउँदा मन अत्ति आन्न्द भैराखे
0,GENERAL,जनता,100% मा 95 रबी दाई को जनता हून् अरू चही दूसमन हून् ।,रबी दाई जनता हून् चही दूसमन हून्
0,GENERAL,बधाई छ,धेरै धेरै बधाई छ रवि सर तपाई लाई अब झन अड़ीग अनी ज़िम्मेवार भएर कार्यक्रम लाई आगड़ी बड़ाऊनु होला ।,बधाई रवि सर तपाई झन अड़ीग अनी ज़िम्मेवार भएर कार्यक्रम आगड़ी बड़ाऊनु
0,GENERAL,सच्चा ईमान्दार निडर,अहिले नेपाल अा मा लाई रबि दाजु जस्तो सच्चा ईमान्दार निडर छोरा चाहिए को छ ।,अहिले नेपाल अा रबि दाजु सच्चा ईमान्दार निडर छोरा
1,GENERAL,भुक्ने कुकुर,गल्लि का भुक्ने कुकुर हरू हिजोआज कता गएछन रबि दाईकाे माहानता हेरेर केही कुरा सिक भाडा का टट्टू हरू ।,गल्लि भुक्ने कुकुर हिजोआज कता गएछन रबि दाईकाे माहानता हेरेर सिक भाडा टट्टू
0,GENERAL,हाई हाई‌,रवि दाई हाई हाई‌ भष्ट्रचारी बाई बाई ।,रवि दाई हाई हाई भष्ट्रचारी बाई बाई
0,GENERAL,बर्सी रहोस,पर्मात् मा को असिम किर्पा र मेहेर पल पल बर्सी रहोस ।,पर्मात् असिम किर्पा मेहेर पल पल बर्सी रहोस
0,GENERAL,हिरो,असली हिरो भने कै रबि हुन्न भन्ने जति हाजिर गरुत हजुर ।,असली हिरो रबि हुन्न जति हाजिर गरुत हजुर
0,GENERAL,खुशी लागियो,बधाई छ दाइ खुशी लागियो आयोजक टिम लाई अब युबा लाई छान्नु पर्छ ।,बधाई दाइ खुशी लागियो आयोजक टिम युबा छान्नु
0,GENERAL,हिराे,कहिल्यै पनि नमात्तिने कहिल्यै पनि नअात्तिने नेपालकाे सञ्चारजगतकाे हिराे मात्र रबि लामिछाने हाे ।,नमात्तिने नअात्तिने नेपालकाे सञ्चारजगतकाे हिराे रबि लामिछाने हाे
0,GENERAL,जय नेपाल,जय नेपाल ... ... ।,जय नेपाल
0,GENERAL,हँसिलो हुनेथियो,रबि दाजु नेपाल को प्रधानमन्त्री हुनुभयो भने नेपाल अा मा को मुहार कत्ति हँसिलो हुनेथियो होला ।,रबि दाजु नेपाल प्रधानमन्त्री नेपाल अा मुहार कत्ति हँसिलो
1,GENERAL,सातोजानेभो,अबचै नेपाल का प्रधानमंत्री को सातोजानेभो हैं रबी जि र भबिसै मा चै गरेरै देखाउनु परने हुनछ है रबि जि ।,अबचै नेपाल प्रधानमंत्री सातोजानेभो हैं रबी जि भबिसै चै गरेरै देखाउनु परने है रबि जि
0,GENERAL,कर्मठ संचार कर्मि,"नेपाल को ईतिहास मा पहिलो पटक हो एउ टा कर्मठ संचार कर्मि लाई यो जनसागर उर्लिए को , जुन राजा ले पनि कमाउन नसके को ।",नेपाल ईतिहास एउ टा कर्मठ संचार कर्मि जनसागर उर्लिए राजा कमाउन नसके
0,GENERAL,गर्व ले छाती फुल्छ,रबि दाइ लाइ देखदा गर्व ले छाती फुल्छ ।,रबि दाइ गर्व छाती फुल्छ
0,GENERAL,भब्य स्वागत,रबि को जस्तो भब्य स्वागत & धन्यवाद कार्यक्रम आज सम्म यस्तो जन सपोर्ट कहिल्यै देखे को थिएन ।,रबि भब्य स्वागत धन्यवाद कार्यक्रम जन सपोर्ट
0,GENERAL,जय देश,जय रबि जय देश ।,जय रबि जय देश
1,GENERAL,आँखा लागि सक्यो,गद्दार सर्कार को आँखा लागि सक्यो ।,गद्दार सर्कार आँखा
1,GENERAL,किरा परेर झरि जा वस,याे डिस लाईक गर्ने हरु को हात किरा परेर झरि जा वस ️ ️ ️ ️ ️ ️ ️ ।,याे डिस लाईक हात किरा परेर झरि जा वस
1,GENERAL,चोर,चोर हरु को कति मन रो को होला है ।,चोर कति मन रो है
0,GENERAL,देश भक्त,१०० मा ९५% रबि को पक्ष यो हो सच्चा देश भक्त ।,रबि पक्ष सच्चा देश भक्त
0,GENERAL,जय,फेरि अजा अर्को बुद्ध को जन्म भए को छ धेरै खुशी लगिरहे को छ जय रबि दाई ।,अजा बुद्ध जन्म खुशी लगिरहे जय रबि दाई
0,GENERAL,खुसि लाग्यो,"बिना रक्सी , मासु , पेट्रोल र पैशा को समर्थन र जुलुस देख्दा खुसि लाग्यो ।",बिना रक्सी मासु पेट्रोल पैशा समर्थन जुलुस देख्दा खुसि लाग्यो
0,GENERAL,देशप्रेमी,देशप्रेमी जनता हरु पनि रैछन देश मा ।,देशप्रेमी जनता रैछन देश
0,GENERAL,जिन्दावाद,हाम्रो देश ले खोजे को रबि सर जिन्दावाद ।,देश खोजे रबि सर जिन्दावाद
0,GENERAL,राम्रो,रबि सर को हासो नै राम्रो ।,रबि सर हासो
